Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,0.485000,0.500000,0.485000,0.500000,0.500000,0
2016-12-26,0.505000,0.528000,0.420000,0.480000,0.480000,0
2017-01-02,0.488000,0.520000,0.475000,0.503000,0.503000,0
2017-01-09,0.500000,0.513000,0.483000,0.513000,0.513000,0
2017-01-16,0.508000,0.535000,0.478000,0.480000,0.480000,0
2017-01-23,0.485000,0.500000,0.473000,0.498000,0.498000,0
2017-01-30,0.498000,0.510000,0.480000,0.488000,0.488000,0
2017-02-06,0.488000,0.528000,0.488000,0.523000,0.523000,0
2017-02-13,0.520000,0.538000,0.500000,0.508000,0.508000,0
2017-02-20,0.505000,0.528000,0.490000,0.498000,0.498000,0
2017-02-27,0.495000,0.690000,0.488000,0.683000,0.683000,0
2017-03-06,0.683000,0.755000,0.680000,0.725000,0.725000,0
2017-03-13,0.725000,0.765000,0.700000,0.708000,0.708000,0
2017-03-20,0.708000,0.758000,0.708000,0.748000,0.748000,0
2017-03-27,0.748000,0.775000,0.738000,0.738000,0.738000,0
2017-04-03,0.740000,0.798000,0.738000,0.798000,0.798000,0
2017-04-10,0.795000,0.805000,0.785000,0.790000,0.790000,0
2017-04-17,0.790000,0.810000,0.760000,0.763000,0.763000,0
2017-04-24,0.778000,0.810000,0.768000,0.780000,0.780000,0
2017-05-01,0.780000,0.870000,0.778000,0.868000,0.868000,0
2017-05-08,0.870000,0.890000,0.850000,0.855000,0.855000,0
2017-05-15,0.860000,0.895000,0.860000,0.888000,0.888000,0
2017-05-22,0.893000,0.915000,0.878000,0.910000,0.910000,0
2017-05-29,0.910000,0.955000,0.910000,0.953000,0.953000,0
2017-06-05,0.955000,0.985000,0.945000,0.980000,0.980000,0
2017-06-12,0.980000,0.995000,0.973000,0.985000,0.985000,0
2017-06-19,0.988000,1.003000,0.928000,0.933000,0.933000,0
2017-06-26,0.940000,1.010000,0.928000,0.993000,0.993000,0
2017-07-03,1.000000,1.030000,0.998000,1.008000,1.008000,0
2017-07-10,1.010000,1.035000,1.008000,1.008000,1.008000,0
2017-07-17,1.005000,1.140000,1.005000,1.138000,1.138000,0
2017-07-24,1.140000,1.173000,1.050000,1.053000,1.053000,0
2017-07-31,1.050000,1.070000,1.035000,1.053000,1.053000,0
2017-08-07,1.053000,1.053000,1.010000,1.013000,1.013000,0
2017-08-14,1.015000,1.018000,0.973000,0.988000,0.988000,0
2017-08-21,0.985000,0.998000,0.965000,0.995000,0.995000,0
2017-08-28,0.995000,1.013000,0.970000,0.985000,0.985000,0
2017-09-04,0.980000,1.040000,0.970000,1.020000,1.020000,0
2017-09-11,1.020000,1.028000,1.010000,1.010000,1.010000,0
2017-09-18,1.013000,1.028000,1.000000,1.003000,1.003000,0
2017-09-25,1.000000,1.053000,0.998000,1.028000,1.028000,0
2017-10-02,1.033000,1.050000,1.013000,1.043000,1.043000,0
2017-10-09,1.045000,1.075000,1.045000,1.050000,1.050000,0
2017-10-16,1.050000,1.083000,1.050000,1.075000,1.075000,0
2017-10-23,1.080000,1.098000,1.070000,1.073000,1.073000,0
2017-10-30,1.073000,1.148000,1.073000,1.148000,1.148000,0
2017-11-06,1.158000,1.228000,1.153000,1.200000,1.200000,0
2017-11-13,1.200000,1.245000,1.180000,1.240000,1.240000,0
2017-11-20,1.240000,1.290000,1.235000,1.240000,1.240000,0
2017-11-27,1.243000,1.270000,1.223000,1.235000,1.235000,0
2017-12-04,1.238000,1.290000,1.238000,1.253000,1.253000,0
2017-12-11,1.250000,1.315000,1.250000,1.285000,1.285000,0
2017-12-18,1.290000,1.370000,1.290000,1.298000,1.298000,0
2017-12-25,1.313000,1.435000,1.293000,1.355000,1.355000,0
2018-01-01,1.388000,1.400000,1.368000,1.370000,1.370000,0
2018-01-08,1.370000,1.423000,1.370000,1.410000,1.410000,0
2018-01-15,1.415000,1.425000,1.395000,1.403000,1.403000,0
2018-01-22,1.400000,1.418000,1.380000,1.388000,1.388000,0
2018-01-29,1.395000,1.455000,1.375000,1.450000,1.450000,0
2018-02-05,1.445000,1.533000,1.445000,1.525000,1.525000,0
2018-02-12,1.535000,1.580000,1.533000,1.570000,1.570000,0
2018-02-19,1.583000,1.613000,1.570000,1.605000,1.605000,0
2018-02-26,1.600000,1.640000,1.588000,1.605000,1.605000,0
2018-03-05,1.610000,1.653000,1.610000,1.635000,1.635000,0
2018-03-12,1.635000,1.740000,1.635000,1.738000,1.738000,0
2018-03-19,1.758000,1.760000,1.670000,1.688000,1.688000,0
2018-03-26,1.705000,1.755000,1.670000,1.670000,1.670000,0
2018-04-02,1.683000,1.740000,1.660000,1.680000,1.680000,0
2018-04-09,1.680000,1.718000,1.675000,1.718000,1.718000,0
2018-04-16,1.718000,1.790000,1.713000,1.765000,1.765000,0
2018-04-23,1.770000,1.835000,1.768000,1.770000,1.770000,0
2018-04-30,1.773000,1.823000,1.763000,1.793000,1.793000,0
2018-05-07,1.790000,1.860000,1.790000,1.860000,1.860000,0
2018-05-14,1.863000,1.883000,1.853000,1.855000,1.855000,0
2018-05-21,1.858000,1.893000,1.840000,1.853000,1.853000,0
2018-05-28,1.850000,1.893000,1.840000,1.868000,1.868000,0
2018-06-04,1.865000,1.915000,1.860000,1.880000,1.880000,0
2018-06-11,1.878000,1.905000,1.860000,1.888000,1.888000,0
2018-06-18,1.885000,1.898000,1.868000,1.870000,1.870000,0
2018-06-25,1.865000,1.898000,1.853000,1.880000,1.880000,0
2018-07-02,1.875000,1.935000,1.875000,1.905000,1.905000,0
2018-07-09,1.910000,1.940000,1.905000,1.928000,1.928000,0
2018-07-16,1.935000,1.978000,1.933000,1.933000,1.933000,0
2018-07-23,1.925000,1.965000,1.920000,1.945000,1.945000,0
2018-07-30,1.950000,1.995000,1.945000,1.960000,1.960000,0
2018-08-06,1.970000,2.013000,1.965000,2.000000,2.000000,0
2018-08-13,2.000000,2.038000,1.993000,1.995000,1.995000,0
2018-08-20,1.995000,2.048000,1.993000,2.048000,2.048000,0
2018-08-27,2.050000,2.080000,2.050000,2.055000,2.055000,0
2018-09-03,2.058000,2.093000,2.058000,2.088000,2.088000,0
2018-09-10,2.085000,2.108000,2.083000,2.103000,2.103000,0
2018-09-17,2.110000,2.138000,2.105000,2.123000,2.123000,0
2018-09-24,2.128000,2.170000,2.123000,2.150000,2.150000,0
2018-10-01,2.158000,2.178000,2.153000,2.165000,2.165000,0
2018-10-08,2.165000,2.225000,2.165000,2.218000,2.218000,0
2018-10-15,2.225000,2.270000,2.223000,2.260000,2.260000,0
2018-10-22,2.258000,2.290000,2.258000,2.273000,2.273000,0
2018-10-29,2.280000,2.290000,2.260000,2.273000,2.273000,0
2018-11-05,2.270000,2.315000,2.268000,2.300000,2.300000,0
2018-11-12,2.300000,2.330000,2.295000,2.300000,2.300000,0
2018-11-19,2.305000,2.358000,2.300000,2.348000,2.348000,0
2018-11-26,2.353000,2.358000,2.303000,2.308000,2.308000,0
2018-12-03,2.310000,2.368000,2.288000,2.340000,2.340000,0
2018-12-10,2.340000,2.378000,2.320000,2.368000,2.368000,0
2018-12-17,2.360000,2.365000,2.318000,2.330000,2.330000,0
2018-12-24,2.330000,2.390000,2.318000,2.328000,2.328000,0
2018-12-31,2.345000,2.400000,2.300000,2.358000,2.358000,0
2019-01-07,2.355000,2.403000,2.353000,2.370000,2.370000,0
2019-01-14,2.365000,2.385000,2.345000,2.348000,2.348000,0
2019-01-21,2.350000,2.373000,2.305000,2.328000,2.328000,0
2019-01-28,2.333000,2.375000,2.330000,2.340000,2.340000,0
2019-02-04,2.340000,2.370000,2.335000,2.365000,2.365000,0
2019-02-11,2.368000,2.388000,2.368000,2.370000,2.370000,0
2019-02-18,2.373000,2.395000,2.365000,2.393000,2.393000,0
2019-02-25,2.393000,2.400000,2.378000,2.378000,2.378000,0
2019-03-04,2.378000,2.405000,2.375000,2.393000,2.393000,0
2019-03-11,2.393000,2.395000,2.380000,2.388000,2.388000,0
2019-03-18,2.388000,2.418000,2.385000,2.398000,2.398000,0
2019-03-25,2.400000,2.405000,2.328000,2.328000,2.328000,0
2019-04-01,2.343000,2.378000,2.320000,2.370000,2.370000,0
2019-04-08,2.370000,2.375000,2.360000,2.375000,2.375000,0
2019-04-15,2.373000,2.390000,2.360000,2.365000,2.365000,0
2019-04-22,2.368000,2.390000,2.358000,2.360000,2.360000,0
2019-04-29,2.360000,2.375000,2.345000,2.368000,2.368000,0
2019-05-06,2.360000,2.373000,2.360000,2.370000,2.370000,0
2019-05-13,2.360000,2.360000,2.328000,2.330000,2.330000,0
2019-05-20,2.328000,2.333000,2.288000,2.288000,2.288000,0
2019-05-27,2.290000,2.310000,2.290000,2.293000,2.293000,0
2019-06-03,2.280000,2.300000,2.203000,2.215000,2.215000,0
2019-06-10,2.228000,2.228000,2.120000,2.125000,2.125000,0
2019-06-17,2.125000,2.170000,2.055000,2.055000,2.055000,0
2019-06-24,2.058000,2.098000,2.035000,2.035000,2.035000,0
2019-07-01,2.055000,2.175000,2.053000,2.163000,2.163000,0
2019-07-08,2.160000,2.208000,2.088000,2.090000,2.090000,0
2019-07-15,2.088000,2.105000,1.993000,2.013000,2.013000,0
2019-07-22,2.033000,2.063000,2.015000,2.063000,2.063000,0
2019-07-29,2.065000,2.073000,1.968000,2.000000,2.000000,0
2019-08-05,1.978000,1.998000,1.943000,1.950000,1.950000,0
2019-08-12,1.945000,1.958000,1.823000,1.823000,1.823000,0
2019-08-19,1.828000,1.940000,1.828000,1.910000,1.910000,0
2019-08-26,1.925000,1.953000,1.923000,1.933000,1.933000,0
2019-09-02,1.930000,1.930000,1.898000,1.910000,1.910000,0
2019-09-09,1.918000,1.923000,1.878000,1.900000,1.900000,0
2019-09-16,1.905000,1.965000,1.700000,1.850000,1.850000,0
2019-09-23,1.855000,1.895000,1.725000,1.730000,1.730000,0
2019-09-30,1.745000,1.805000,1.633000,1.655000,1.655000,0
2019-10-07,1.663000,1.685000,1.600000,1.623000,1.623000,0
2019-10-14,1.618000,1.628000,1.608000,1.625000,1.625000,0
2019-10-21,1.630000,1.638000,1.610000,1.625000,1.625000,0
2019-10-28,1.630000,1.635000,1.480000,1.485000,1.485000,0
